task_t,replan_t,target_t,progress_bin,n_transitions,mean_delta_norm,std_delta_norm,mean_dPC1,mean_dPC2,mean_dPC3
2,0,2,7,310,1.6096818262530912,0.5799197717299626,0.7863543465733528,-0.5855316703358004,0.5437144282003564
2,0,2,8,360,1.6901957259565177,0.55734358308814,0.8585222638729546,-0.6653555906895134,0.4886103272308699
2,0,2,9,624,1.6975899590537524,0.6433667684279387,0.9759285474219956,-0.646761596441651,0.5987684114430195
2,0,3,0,605,1.40134291986296,0.6050004940301508,-0.15229398570031175,0.9032923737587022,-0.22427630478069802
2,0,3,1,408,1.3390399293663602,0.5819424518542043,-0.13524702196831212,0.760445390444468,-0.3480085429242429
2,0,3,2,412,1.4225807603882643,0.588040170770193,-0.1557664409352159,0.8385364412899735,-0.38379273621492016
2,0,3,3,372,1.4171473373889283,0.5659020371306386,-0.17906899686892747,0.8690699363347664,-0.35416961855865936
2,0,3,4,322,1.4843922999936232,0.5968446488309485,-0.15588348745281652,0.9071682487724361,-0.46181550291106566
2,0,3,5,438,1.4893388407959787,0.5983982054934545,-0.09465234838085904,0.9051352059085892,-0.4585638891344201
2,0,3,6,393,1.3655993317185164,0.6142801959365475,-0.07486525092643635,0.7432360702191904,-0.447579474735806
2,0,3,7,402,1.3921306020770203,0.635554647932451,-0.004938914797347577,0.8028597290748128,-0.39310924905301325
2,0,3,8,463,1.4079680635249865,0.6078688755680789,-0.13021083176940615,0.7815138823865686,-0.515147190500799
2,0,3,9,619,1.4857122226266917,0.5913218817464342,-0.20886101679927602,0.8724219396541885,-0.48066149538861336
3,0,0,0,654,1.4645286965032966,0.49109022825164034,0.061609880195571745,-0.7213018104228952,0.008718104400766005
3,0,0,1,403,1.5399941420436793,0.5732271238863884,0.006278308908046031,-0.8996838293507436,0.08973235662832449
3,0,0,2,458,1.5039166049161463,0.572424766751666,0.09948499066405421,-0.894954783004184,0.07058099750836083
3,0,0,3,437,1.5174163130860034,0.5651612050417703,0.08134238089453984,-0.8556231041726586,0.1345488649347554
3,0,0,4,388,1.520743343460652,0.557065139319984,0.0958103470542689,-0.8682337265039227,0.15784620071194835
3,0,0,5,509,1.6147614021608074,0.5383144688300181,0.11993912242953107,-0.9813967540801626,0.10894088357072214
3,0,0,6,443,1.5240447536178152,0.5579609586778643,0.13362809736491865,-0.9315259732121001,0.11051368248348312
3,0,0,7,386,1.5330179847796193,0.5268253432259121,0.13277333557914575,-0.8598380446279604,0.12729942024603408
3,0,0,8,440,1.5025221468626775,0.5648921330297129,0.2684370316565037,-0.9631036531857469,0.039551049183038145
3,0,0,9,689,1.5833102641154098,0.5482314889484691,0.225669502400954,-0.9886057497325241,0.035774586687110504
3,0,1,0,707,1.456077614085172,0.6005288417784617,-0.4479735619065785,0.6222218690858956,-0.24068912816835933
3,0,1,1,367,1.3989467385151406,0.5802799973973227,-0.4886087820705341,0.585680014532496,-0.17277050434487393
3,0,1,2,466,1.3942669825508487,0.6039446679255713,-0.580326004233611,0.6154427003003496,-0.14529755630864175
3,0,1,3,395,1.426072704980645,0.6011682710554783,-0.5728099985024597,0.618223098920116,-0.14534914651060407
3,0,1,4,346,1.4940915757822508,0.6174434113059041,-0.6625425773376674,0.7230669442521183,-0.16484299071693007
3,0,1,5,546,1.4919191087330026,0.6421610920889362,-0.6812234472060378,0.6473190449860506,-0.10260777824452563
3,0,1,6,546,1.5356152436726695,0.6366858360275611,-0.7824586476352844,0.6157592013751194,-0.15585563939078387
3,0,1,7,436,1.5325991293808463,0.6559840212322124,-0.8529284820985903,0.6359095238490936,-0.14293159243710543
3,0,1,8,427,1.547119884409307,0.5903821014030761,-0.8739434987899849,0.7136033218118429,-0.1497729467249866
3,0,1,9,796,1.6116140534605212,0.5072646751524365,-0.9384651026927197,0.8569411395407801,-0.1516297580756191
3,0,2,0,801,1.478995712290282,0.49783776700924004,0.48619609347517867,-0.37352932504984027,0.48677762072258973
3,0,2,1,469,1.4171675346346932,0.5453351863938378,0.5343459265540912,-0.5089237328324872,0.43189227528600044
3,0,2,2,476,1.3345043893684359,0.6156224466278065,0.617263244840653,-0.4462371893117533,0.3803501105828195
3,0,2,3,437,1.402277945142316,0.5888997553026821,0.6436871720618597,-0.47220311905481177,0.41348091830037004
3,0,2,4,340,1.4632181941586382,0.6108690480981476,0.6840069455039852,-0.5607250238056568,0.4384570326930022
3,0,2,5,545,1.5472823690247097,0.5881659215316066,0.7070511901392302,-0.5418785693858742,0.49781985762059144
3,0,2,6,462,1.6156764782449127,0.5840017626998807,0.8194436428753974,-0.6315589211961795,0.5197899531355346
3,0,2,7,402,1.5995034704318465,0.6060333324223797,0.7768735580415053,-0.5552413188365858,0.5164757215658861
3,0,2,8,471,1.687581661349111,0.5643758359307293,0.8447622501700642,-0.6492062191737938,0.5559707034118236
3,0,2,9,647,1.855576309276143,0.5647096065250865,1.121709545011959,-0.7651649419868932,0.5913238957224894
3,0,3,0,616,1.463286104790455,0.5820913196261318,-0.18846456331575845,0.8914373921496528,-0.2730726463744393
3,0,3,1,382,1.3293230610446156,0.5694955447569442,-0.13604042573749084,0.7281308532619352,-0.33303403382369984
3,0,3,2,475,1.4565891425233137,0.5761178973047493,-0.18197226016145004,0.8752586597674772,-0.3991893937203445
3,0,3,3,415,1.396053892320179,0.5687271648618938,-0.1712023953985737,0.8221720122788326,-0.4114326681560242
3,0,3,4,353,1.3958831533325293,0.5757476802376166,-0.17232775164731162,0.817514247305839,-0.392522968515416
3,0,3,5,510,1.3791600532391493,0.6081121594253769,-0.1495105126178732,0.7814452629171166,-0.46129607371255466
3,0,3,6,464,1.4175122198086745,0.5872552092890574,-0.047609960885140405,0.8270626897132827,-0.3923698430238613
3,0,3,7,420,1.2659768361226833,0.6072238269020388,-0.04498077682441189,0.6007096151510875,-0.3964442676199334
3,0,3,8,514,1.3678928219300155,0.6156596078861629,-0.10054326719868972,0.7094736266808751,-0.4797927401814943
3,0,3,9,776,1.4891690955468522,0.6416754142222943,-0.16654926004157083,0.8479949775507155,-0.579315968961983
4,0,0,0,1376,1.4266325740731147,0.6254390309275288,-0.05425521076743513,-0.4328169711610995,-0.04861485708618623
4,0,0,1,1153,1.4727029723469862,0.6440660538348948,-0.02010586764623071,-0.5681045714447538,-0.08494310934300126
4,0,0,2,1264,1.4474211167691489,0.6605949999230519,-0.05321860527089219,-0.5350979163894972,-0.07426456941138435
4,0,0,3,1199,1.4106787882381748,0.637884707954346,-0.032058538351708195,-0.5417165748924141,-0.04616330685738701
4,0,0,4,1190,1.3505611860077509,0.6441261851572144,-0.029951968861102057,-0.5714473909768862,-0.03405425131571393
4,0,0,5,1398,1.2919982437947726,0.6359178716394066,0.03949306731262858,-0.5582371699371946,0.013071972600987797
4,0,0,6,1367,1.2476066925767986,0.6368364701451862,0.07971850883736172,-0.6366720133309131,0.04844558644895364
4,0,0,7,1218,1.1928609715031433,0.6094344969779162,0.13049094874774259,-0.648047933119467,0.07271021809612442
4,0,0,8,1278,1.1629095309018995,0.5912188037492386,0.20564569962095813,-0.698853715731003,0.0994658196470314
4,0,0,9,1487,1.251457165630607,0.5813880273495853,0.2588670347659412,-0.7829516810598635,0.08548659510614892
4,0,1,0,1487,1.4135370448497253,0.6176807592438806,-0.5110785280803385,0.23117198304303876,0.01632769312960094
4,0,1,1,1201,1.5172128033558478,0.6784098372070688,-0.681728033770766,0.2589975186467766,0.03418378153665427
4,0,1,2,1205,1.4805359320490934,0.6582671318947073,-0.65279316993979,0.33263600659460074,0.052931557054712565
4,0,1,3,1200,1.4322049992803174,0.686213569567479,-0.6773981635582944,0.3276536513244112,0.04379952470228697
4,0,1,4,1131,1.3517471872925575,0.6818700281134905,-0.6159191927176783,0.3387630163015885,-0.010326729356998843
4,0,1,5,1212,1.321312479339786,0.6443959071899609,-0.5967120094356978,0.3664029912389938,-0.016806207231488755
4,0,1,6,1241,1.2796811492082503,0.638193754144083,-0.5928999766839501,0.4349743074750247,-0.049894157397852704
4,0,1,7,1283,1.240220839155523,0.6124605063091337,-0.6022581209951978,0.474535518712767,-0.08514271883275112
4,0,1,8,1221,1.2159766490898423,0.5796147709460353,-0.6208993291068917,0.5650927181539479,-0.12158077797203352
4,0,1,9,1569,1.2821949964283548,0.5068377413270907,-0.7292230752450483,0.6338547002203606,-0.13657092645887814
4,0,2,0,1529,1.4366992028482488,0.6209815011964851,0.38247733645718557,-0.06138304662583134,0.26618485472745523
4,0,2,1,1223,1.4815609583605267,0.6318651136533,0.4573795734615334,-0.18466168277206255,0.3404529549085131
4,0,2,2,1230,1.4878009005404282,0.6520327423556076,0.48198455057099343,-0.16618294673858255,0.3418213863864662
4,0,2,3,1197,1.425714072916087,0.6567309393593384,0.47285214376323853,-0.23698231643929443,0.32815270700842863
4,0,2,4,1089,1.4135516838575102,0.6407343673353528,0.5133908409180583,-0.3013133018613683,0.32002255122482615
4,0,2,5,1241,1.3748432380746898,0.6528631816838232,0.5663304169850663,-0.3816215763135688,0.34157576501792736
