task,source,sequence_trial_index,start,goal,n_actions,shortest_steps,excess_steps,hit_rate,reached_goal,path_efficiency,revisit_rate,unique_state_fraction,action_entropy,left_frac,up_frac,right_frac,down_frac,straight_frac,turn_frac,reverse_frac,first_action_matches_shortest,shortest_action_alignment,mean_distance_delta,progress_action_frac,stall_action_frac,regress_action_frac,model,source_role,raw_source
2,model_context_rollout,71,2,1,5,3,2.0,0.4,1,0.6,0.3333333333333333,0.6666666666666666,0.6854752972273345,0.2,0.6,0.2,0.0,0.25,0.75,0.0,0,0.6,0.6,0.6,0.4,0.0,context,model,model_context_rollout
2,actual_subject,71,2,1,3,3,0.0,0.0,1,1.0,0.0,1.0,0.792481250360578,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0.0,context,actual,actual_subject
2,model_context_rollout,75,11,1,14,6,8.0,0.1428571428571428,1,0.4285714285714285,0.2,0.8,0.8942252286541448,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.38461538461538464,0.5384615384615384,0.07692307692307693,1,0.6666666666666666,0.42857142857142855,0.6428571428571429,0.14285714285714285,0.21428571428571427,context,model,model_context_rollout
2,actual_subject,75,11,1,6,6,0.0,0.0,1,1.0,0.0,1.0,0.7295739585136223,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0.0,context,actual,actual_subject
2,model_context_rollout,79,40,5,11,9,2.0,0.1818181818181818,1,0.8181818181818182,0.16666666666666666,0.8333333333333334,0.7176856953872667,0.5454545454545454,0.2727272727272727,0.0,0.18181818181818182,0.1,0.9,0.0,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.0,context,model,model_context_rollout
2,actual_subject,79,40,5,9,9,0.0,0.0,1,1.0,0.0,1.0,0.7177602521413333,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0.125,0.875,0.0,1,1.0,1.0,1.0,0.0,0.0,context,actual,actual_subject
2,model_context_rollout,83,3,46,20,11,9.0,0.25,1,0.55,0.2857142857142857,0.7142857142857143,0.8005071529034175,0.05,0.15,0.55,0.25,0.21052631578947367,0.7894736842105263,0.0,1,0.5,0.55,0.65,0.25,0.1,context,model,model_context_rollout
2,actual_subject,83,3,46,14,11,3.0,0.0714285714285714,1,0.7857142857142857,0.06666666666666667,0.9333333333333333,0.7463070340085628,0.0,0.21428571428571427,0.5,0.2857142857142857,0.3076923076923077,0.6923076923076923,0.0,1,0.5,0.7857142857142857,0.8571428571428571,0.07142857142857142,0.07142857142857142,context,actual,actual_subject
2,model_context_rollout,87,16,24,75,10,65.0,0.0933333333333333,0,0.1333333333333333,0.7631578947368421,0.23684210526315788,0.99060458443166,0.30666666666666664,0.2,0.26666666666666666,0.22666666666666666,0.25675675675675674,0.6756756756756757,0.06756756756756757,1,0.4,0.0,0.4533333333333333,0.09333333333333334,0.4533333333333333,context,model,model_context_rollout
2,actual_subject,87,16,24,25,10,15.0,0.12,1,0.4,0.4230769230769231,0.5769230769230769,0.9893442852255488,0.24,0.2,0.32,0.24,0.16666666666666666,0.6666666666666666,0.16666666666666666,1,0.4166666666666667,0.4,0.64,0.12,0.24,context,actual,actual_subject
2,model_context_rollout,91,20,16,44,10,34.0,0.2727272727272727,1,0.2272727272727272,0.37777777777777777,0.6222222222222222,0.9806627987381725,0.29545454545454547,0.25,0.29545454545454547,0.1590909090909091,0.2558139534883721,0.7209302325581395,0.023255813953488372,1,0.35714285714285715,0.13636363636363635,0.4318181818181818,0.2727272727272727,0.29545454545454547,context,model,model_context_rollout
2,actual_subject,91,20,16,30,10,20.0,0.0666666666666666,1,0.3333333333333333,0.22580645161290322,0.7741935483870968,0.9949490477321438,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2,0.2413793103448276,0.6551724137931034,0.10344827586206896,1,0.6666666666666666,0.2,0.5666666666666667,0.06666666666666667,0.36666666666666664,context,actual,actual_subject
