group_type,group_label,n_samples,n_train,n_test,alpha,train_r2,test_r2,spectral_radius,attractor_like,fixed_point_note,b_PC1,b_PC2,b_PC3,fixed_PC1,fixed_PC2,fixed_PC3,A_PC1_from_PC1,A_PC1_from_PC2,A_PC1_from_PC3,A_PC2_from_PC1,A_PC2_from_PC2,A_PC2_from_PC3,A_PC3_from_PC1,A_PC3_from_PC2,A_PC3_from_PC3,eig1_real,eig1_imag,eig1_abs,eig2_real,eig2_imag,eig2_abs,eig3_real,eig3_imag,eig3_abs
"task_t,replan_t,target_t","task_t=1,replan_t=0,target_t=1",4358,3268,1090,10.0,0.414274723459715,0.4166178736995501,1.0927818269616845,False,ok,0.06689186172256001,-0.4962143980573145,-0.6428696986016895,-2.328808142613787,1.523631592232235,-0.5947184679582505,0.8600945482796725,-0.27065579970405024,-0.03308272943431341,-0.461968834303378,0.5570791366528447,-0.16011918324856175,-0.09062015772645772,-0.08743837746429071,0.04987545851500812,1.0927818269616845,0.0,1.0927818269616845,0.37745360000468015,0.0,0.37745360000468015,-0.003186283518840264,0.0,0.003186283518840264
"task_t,replan_t,target_t","task_t=1,replan_t=0,target_t=2",4285,3213,1072,10.0,0.4742355273704745,0.4688533106579531,1.1100050299589226,False,ok,-0.1008208764101085,0.08227624709126186,0.4097573467167414,1.5260721970299396,0.8501124294310236,0.29455542770807575,0.9740384971269794,0.2570701687522448,-0.2651403919532485,0.19248042085100994,0.6198457899990277,-0.17939389952311907,-0.10919065863341114,0.025372144169499955,0.10137899824055344,1.1100050299589226,0.0,1.1100050299589226,0.5019412870313816,0.0,0.5019412870313816,0.08331696837625596,0.0,0.08331696837625596
"task_t,replan_t,target_t","task_t=1,replan_t=0,target_t=3",4107,3080,1027,10.0,0.44185598657563785,0.432029472520897,0.9788146167844896,True,ok,-0.4916022105215031,0.23025672079529183,-0.6820746591936471,-16.134917923083044,11.566882300516456,-3.163590481796233,0.9239925709270241,-0.11207446609679374,-0.17751372763027806,-0.27998676233360614,0.5596093256014842,-0.1094095295856328,0.03851182887053901,-0.06834775443217964,0.3380842747635645,0.9788146167844896,0.0,0.9788146167844896,0.5478741635656663,0.0,0.5478741635656663,0.29499739094191724,0.0,0.29499739094191724
"task_t,replan_t,target_t","task_t=2,replan_t=0,target_t=0",4603,3452,1151,10.0,0.3615311052649036,0.3671582463635585,0.8688835832879168,True,ok,0.4273065220469847,0.08520372835887902,0.5390513818375808,1.9534150082304487,0.7393616272593443,0.4730294059617024,0.8725385149971415,-0.0778868762723966,-0.25523735980576506,0.135371362805314,0.5722468246858019,-0.07055776228937795,-0.040757040769292395,-0.10361755915131315,0.1906948812564458,0.8688835832879168,0.0,0.8688835832879168,0.5962545614204421,0.0,0.5962545614204421,0.1703420762310306,0.0,0.1703420762310306
"task_t,replan_t,target_t","task_t=2,replan_t=0,target_t=1",4614,3460,1154,10.0,0.43087510569382587,0.42908049590171154,1.0838269557591862,False,ok,0.11912293322619916,-0.4785330742692156,-0.6800460332572467,-2.7188569772075253,2.018785933771852,-0.63303460290449,0.8968880420852937,-0.21720375702031297,-0.061636899183482495,-0.44765746164052433,0.5655145442546049,-0.21886574152570598,-0.13420997049134048,-0.1315104953463874,0.08276758638372587,1.0838269557591862,0.0,1.0838269557591862,0.47412828149004965,0.0,0.47412828149004965,-0.012785064525610526,0.0,0.012785064525610526
"task_t,replan_t,target_t","task_t=2,replan_t=0,target_t=2",4349,3261,1088,10.0,0.5027650927558543,0.5041909831741506,1.118658067374969,False,ok,-0.09467026057358707,0.08728818602265737,0.3819787036570558,1.242574854260336,0.7447516278253535,0.2521009551717902,0.9692055552277151,0.27372214853592586,-0.28131726969110243,0.1936417035926599,0.6158490049550989,-0.1658280855148797,-0.1359337095456706,0.02803929614076016,0.07198603982376069,1.118658067374969,0.0,1.118658067374969,0.4935540177484472,0.0,0.4935540177484472,0.04482851488315861,0.0,0.04482851488315861
"task_t,replan_t,target_t","task_t=2,replan_t=0,target_t=3",4435,3326,1109,1.0,0.4770277167722798,0.47587166945451603,1.0054281216946417,False,ok,-0.5553889977825535,0.33985611793929715,-0.6372141723435426,75.57811144364497,-43.71997492107502,-0.02993634843286941,0.9447878511596178,-0.10801302233164556,-0.1968278932957686,-0.314738199006111,0.4637679175778414,-0.11388719474937122,-0.04569411062238688,-0.0930843905899762,0.2971241903329396,1.0054281216946417,0.0,1.0054281216946417,0.5035976804548455,0.0,0.5035976804548455,0.19665415692091257,0.0,0.19665415692091257
"task_t,replan_t,target_t","task_t=3,replan_t=0,target_t=0",4945,3708,1237,10.0,0.38439950670168327,0.3653369058245044,0.9090571398745062,True,ok,0.46470847973920965,0.09015473589051265,0.45427043996733624,3.530787490793371,1.2964191878915479,0.252690711546641,0.9131995698368928,-0.07111079518749447,-0.26136776841654047,0.12416516298810294,0.5932532570677069,-0.0049121631887996415,-0.03306354782178713,-0.0935645220155145,0.1442849800587298,0.9090571398745062,0.0,0.9090571398745062,0.6008563984087293,0.0,0.6008563984087293,0.14082426868009276,0.0,0.14082426868009276
"task_t,replan_t,target_t","task_t=3,replan_t=0,target_t=1",5158,3868,1290,10.0,0.41128900795349294,0.4099575473030552,1.081244041658513,False,ok,0.10867444956824457,-0.5638447707618728,-0.6394974422430857,-3.3741404121169767,2.3322909578522952,-0.53129613962416,0.8854218344946623,-0.23082619982586702,-0.08107830516840814,-0.4753045459791926,0.519358179337921,-0.15264004452162414,-0.09759483061307224,-0.07936627914510476,0.06774395948614303,1.081244041658513,0.0,1.081244041658513,0.3855549380013892,0.0,0.3855549380013892,0.005724993658823726,0.0,0.005724993658823726
"task_t,replan_t,target_t","task_t=3,replan_t=0,target_t=2",5177,3882,1295,10.0,0.4798847967157235,0.4882340738437292,1.0822239391426984,False,ok,-0.06004252042377062,0.03450267210028246,0.4300360799949472,2.1658209376633364,1.0526529667934834,0.20539180686168682,0.918724506330506,0.2814258274861774,-0.2929671189078741,0.2100484262769584,0.5743820540781418,-0.20157550971271634,-0.13836534507360365,0.051996761105078455,0.09881476648636497,1.0822239391426984,0.0,1.0822239391426984,0.42944251217238677,0.0,0.42944251217238677,0.08025487557992779,0.0,0.08025487557992779
