subid,batch,maze,n_trials,mean_n_action,mean_n_hit,mean_hit_rate,mean_shortest_steps,mean_excess_steps,mean_path_efficiency,reached_goal_rate,optimal_by_length_rate,clean_optimal_rate,exact_short_path_rate,mean_total_rt,mean_rt,mean_first_rt,mean_rt_after_first
15732156390,3,2,358,11.377095,2.620112,0.177595,6.114525,5.26257,0.656975,1.0,0.23743,0.23743,0.23743,8.058944,0.76536,2.226472,0.561722
15735414945,1,1,350,16.294286,4.2,0.193467,7.642857,8.651429,0.614267,1.0,0.171429,0.171429,0.171429,9.907966,0.661623,1.808571,0.532445
15737083065,3,2,351,11.655271,2.752137,0.181718,6.424501,5.230769,0.656634,1.0,0.213675,0.213675,0.213675,7.492259,0.703763,2.704977,0.47258
15762345647,1,1,395,12.41519,1.843038,0.101623,7.837975,4.577215,0.732565,1.0,0.301266,0.301266,0.301266,9.554772,0.872992,3.918506,0.491104
15762883166,1,1,385,17.109091,4.337662,0.181429,7.78961,9.319481,0.617613,1.0,0.192208,0.192208,0.192208,10.683525,0.670101,2.568774,0.515735
15797725211,2,1,351,17.603989,4.660969,0.205818,7.672365,9.931624,0.586029,1.0,0.148148,0.148148,0.148148,10.028254,0.631286,1.77259,0.520568
15803840198,1,1,351,10.438746,0.732194,0.051295,7.849003,2.589744,0.827812,1.0,0.447293,0.447293,0.447293,12.259934,1.250341,5.202564,0.711693
15813407784,3,2,351,11.814815,2.62963,0.188333,6.48433,5.330484,0.627107,1.0,0.133903,0.133903,0.133903,5.511459,0.50579,2.084094,0.328494
15863380723,1,1,400,11.5375,1.585,0.088205,7.5875,3.95,0.775332,1.0,0.3975,0.3975,0.3975,10.392622,0.873289,2.55731,0.647214
15877095878,2,1,377,18.901857,5.657825,0.22112,7.854111,11.047745,0.577303,1.0,0.145889,0.145889,0.145889,14.666671,0.904528,4.369276,0.61508
15894893738,2,1,351,15.062678,3.401709,0.165259,7.928775,7.133903,0.658244,1.0,0.236467,0.236467,0.236467,7.068396,0.523786,1.397749,0.426876
15906778481,3,2,351,12.603989,2.854701,0.172477,6.45584,6.148148,0.621564,1.0,0.168091,0.168091,0.168091,10.203652,0.876633,3.419051,0.590166
15924439878,3,2,419,10.98568,2.023866,0.144332,6.365155,4.620525,0.677578,1.0,0.231504,0.231504,0.231504,7.548098,0.725981,2.171998,0.550691
15928219905,1,1,351,11.877493,1.541311,0.090481,7.584046,4.293447,0.758133,1.0,0.336182,0.336182,0.336182,10.614664,1.003484,4.504402,0.568636
15953006339,2,1,393,17.987277,5.541985,0.222871,7.956743,10.030534,0.593105,1.0,0.19084,0.19084,0.19084,18.416285,1.038878,7.586313,0.537544
15967121995,1,1,351,16.22792,4.022792,0.188336,7.68661,8.541311,0.623131,1.0,0.219373,0.219373,0.219373,9.181709,0.617077,1.818217,0.498809
15979039682,1,1,411,13.851582,3.099757,0.167894,7.754258,6.097324,0.667858,1.0,0.238443,0.238443,0.238443,13.909224,1.203474,8.420234,0.43269
15984320867,2,1,349,14.320917,2.358166,0.10532,7.773639,6.547278,0.713026,1.0,0.292264,0.292264,0.292264,13.922602,1.079472,4.063246,0.73261
15989198298,1,1,351,13.188034,2.307692,0.128417,7.752137,5.435897,0.699186,1.0,0.276353,0.276353,0.276353,7.036151,0.575462,1.866897,0.445185
15993580892,1,1,356,12.449438,1.831461,0.108296,7.657303,4.792135,0.723467,1.0,0.261236,0.261236,0.261236,6.734565,0.585296,1.709952,0.447423
16630722126,3,2,393,11.875318,2.562341,0.15948,6.458015,5.417303,0.657119,1.0,0.24173,0.24173,0.24173,7.360344,0.666657,1.818127,0.524369
16639235215,1,1,201,14.318408,2.800995,0.121776,7.557214,6.761194,0.68983,1.0,0.303483,0.303483,0.303483,6.683915,0.524044,1.155413,0.444201
16726368276,3,2,351,10.57265,1.797721,0.128831,6.421652,4.150997,0.713423,1.0,0.287749,0.287749,0.287749,7.365795,0.747334,2.782638,0.432914
17325080750,1,1,346,12.638728,1.852601,0.089273,7.682081,4.956647,0.737392,1.0,0.312139,0.312139,0.312139,19.196052,1.783161,8.279997,0.931367
17331496902,3,2,351,9.262108,0.720798,0.054681,6.296296,2.965812,0.771212,1.0,0.364672,0.364672,0.364672,18.819615,2.194718,10.216057,0.969848
17363160545,3,2,351,10.14245,1.552707,0.101206,6.373219,3.769231,0.747543,1.0,0.356125,0.356125,0.356125,12.048761,1.32709,5.441484,0.702128
17383842895,2,1,200,15.405,3.005,0.098699,7.73,7.675,0.692574,1.0,0.33,0.33,0.33,11.17338,0.79321,1.543435,0.696783
17527328008,3,2,351,10.991453,1.364672,0.086124,6.430199,4.561254,0.739685,1.0,0.356125,0.356125,0.356125,8.745393,0.79188,2.279587,0.559485
17539296395,3,2,351,11.116809,2.165242,0.155416,6.37037,4.746439,0.678092,1.0,0.230769,0.230769,0.230769,6.105974,0.590829,1.40933,0.483988
17564008967,1,1,201,13.18408,2.348259,0.097899,7.522388,5.661692,0.72515,1.0,0.353234,0.353234,0.353234,8.215701,0.697013,1.588294,0.590786
17623708813,1,1,351,19.860399,5.974359,0.210803,7.7151,12.145299,0.583146,1.0,0.173789,0.173789,0.173789,14.39996,0.762071,2.557302,0.603659
17658298281,1,1,416,16.548077,4.338942,0.206881,7.709135,8.838942,0.577564,1.0,0.122596,0.122596,0.122596,14.164577,0.863923,5.55625,0.488157
17713196465,1,1,351,14.529915,3.501425,0.182347,7.592593,6.937322,0.655806,1.0,0.22792,0.22792,0.22792,9.940182,0.75085,2.182672,0.600307
